user_id,name,date,amount,recurring,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Advance Auto Parts,2022-03-03,99.35,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Advance Auto Parts,2022-05-06,8.95,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Advance Auto Parts,2022-07-03,13.58,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Advance Auto Parts,2022-09-11,7.87,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Advance Auto Parts,2022-10-22,100.96,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Advance Auto Parts,2023-04-23,36.72,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Advance Auto Parts,2023-10-18,123.28,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-03-08,11,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-03-21,1.5,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-03-25,14.99,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-04-10,7,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-04-11,6,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-04-15,1.5,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-04-23,14.99,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-05-09,10,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-05-13,15,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-05-16,43,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-05-22,14.99,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-06-13,53,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-06-20,14.99,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-06-21,15,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-06-27,59,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-07-11,20,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-07-11,53.96,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-07-20,14.99,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-07-26,58,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-08-12,10,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-08-13,8,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-08-20,14.99,1,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-08-26,54,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-08-28,7,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-08-30,8,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-09-04,9,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-09-10,30,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-09-19,52.97,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-09-23,14.99,1,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-09-24,5,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-09-26,9,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-10-08,10,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-10-09,7,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-10-18,60,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-10-22,8,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-10-22,14.99,1,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-10-24,8,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-10-25,30,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-10-31,54,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-11-18,14.99,1,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-11-27,8,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-11-27,47,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-12-09,7,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-12-19,16.99,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2024-12-30,7,,
ATbstxWWKqdbrTQdYjypnjFucXRhbIws,Albert,2025-01-28,16.99,1,?
